Date,Open,High,Low,Close,Volume
2017-01-03,225.0399932861328,225.8300018310547,223.8800048828125,194.46788024902344,91366500
2017-01-04,225.6199951171875,226.75,225.61000061035156,195.6248016357422,78744400
2017-01-05,226.27000427246094,226.5800018310547,225.47999572753906,195.46934509277344,78379000
2017-01-06,226.52999877929688,227.75,225.89999389648438,196.16873168945312,71559900
2017-01-09,226.91000366210938,227.07000732421875,226.4199981689453,195.52120971679688,46939700
2017-01-10,226.47999572753906,227.4499969482422,226.00999450683594,195.52120971679688,63771900
2017-01-11,226.36000061035156,227.10000610351562,225.58999633789062,196.07376098632812,74650000
2017-01-12,226.5,226.75,224.9600067138672,195.58157348632812,72113200
2017-01-13,226.72999572753906,227.39999389648438,226.69000244140625,196.0305938720703,62717900
2017-01-17,226.30999755859375,226.77999877929688,225.8000030517578,195.33987426757812,61240800
2017-01-18,226.5399932861328,226.8000030517578,225.89999389648438,195.77154541015625,54793300
2017-01-19,226.83999633789062,227.0,225.41000366210938,195.04632568359375,66608800
2017-01-20,226.6999969482422,227.30999755859375,225.97000122070312,195.76290893554688,129168600
2017-01-23,226.74000549316406,226.80999755859375,225.27000427246094,195.2535400390625,75061600
2017-01-24,226.39999389648438,228.0800018310547,226.27000427246094,196.50546264648438,95555300
2017-01-25,228.6999969482422,229.57000732421875,228.50999450683594,198.20626831054688,84437700
2017-01-26,229.39999389648438,229.7100067138672,229.00999450683594,197.9990692138672,59970700
2017-01-27,229.4199981689453,229.58999633789062,228.75999450683594,197.68826293945312,59711100
2017-01-30,228.1699981689453,228.1999969482422,226.41000366210938,196.46224975585938,79737300
2017-01-31,226.97999572753906,227.60000610351562,226.32000732421875,196.44497680664062,75880800
2017-02-01,227.52999877929688,228.58999633789062,226.94000244140625,196.5226593017578,79117700
2017-02-02,227.6199951171875,228.10000610351562,226.82000732421875,196.65219116210938,69657600
2017-02-03,228.82000732421875,229.5500030517578,228.4600067138672,198.00765991210938,80563200
2017-02-06,228.8699951171875,229.3300018310547,228.5399932861328,197.65367126464844,57790100
2017-02-07,229.3800048828125,229.66000366210938,228.72000122070312,197.66236877441406,57931200
2017-02-08,228.94000244140625,229.38999938964844,228.30999755859375,197.9214324951172,51566200
2017-02-09,229.24000549316406,230.9499969482422,229.24000549316406,199.0956268310547,65955200
2017-02-10,231.0,231.77000427246094,230.6199951171875,199.8812255859375,66015900
2017-02-13,232.0800018310547,233.07000732421875,232.0500030517578,200.96914672851562,55182100
2017-02-14,232.55999755859375,233.7100067138672,232.16000366210938,201.7720184326172,71109000
2017-02-15,233.4499969482422,235.13999938964844,233.38999938964844,202.82537841796875,86785800
2017-02-16,234.9499969482422,235.16000366210938,233.85000610351562,202.65269470214844,84722400
2017-02-17,233.9499969482422,235.08999633789062,233.92999267578125,202.97218322753906,77204100
2017-02-21,235.52000427246094,236.69000244140625,235.50999450683594,204.18087768554688,88946100
2017-02-22,236.02000427246094,236.5399932861328,235.8300018310547,203.99951171875,62115200
2017-02-23,236.8800048828125,236.89999389648438,235.55999755859375,204.13775634765625,74615900
2017-02-24,235.4600067138672,236.7899932861328,235.41000366210938,204.396728515625,82381600
2017-02-27,236.63999938964844,237.30999755859375,236.35000610351562,204.71617126464844,56515400
2017-02-28,236.6699981689453,236.9499969482422,236.02000427246094,204.16358947753906,96961900
2017-03-01,238.38999938964844,240.32000732421875,238.3699951171875,207.0214385986328,149158200
2017-03-02,239.55999755859375,239.57000732421875,238.2100067138672,205.7176971435547,70246000
2017-03-03,238.1699981689453,238.61000061035156,237.72999572753906,205.8472442626953,81974300
2017-03-06,237.5,238.1199951171875,237.00999450683594,205.23422241210938,55391500
2017-03-07,237.36000061035156,237.77000427246094,236.75999450683594,204.6211700439453,65103700
2017-03-08,237.33999633789062,237.63999938964844,236.39999389648438,204.24134826660156,78168800
2017-03-09,236.6999969482422,237.24000549316406,235.74000549316406,204.50033569335938,90683900
2017-03-10,237.97000122070312,238.02000427246094,236.58999633789062,205.21694946289062,81991700
2017-03-13,237.6199951171875,237.86000061035156,237.24000549316406,205.320556640625,57256800
2017-03-14,237.17999267578125,237.24000549316406,236.19000244140625,204.5348663330078,59880800
2017-03-15,237.55999755859375,239.44000244140625,237.2899932861328,206.3047637939453,96081800
2017-03-16,239.11000061035156,239.1999969482422,238.10000610351562,205.89901733398438,78344000
2017-03-17,237.75,237.97000122070312,237.02999877929688,205.53741455078125,89002100
2017-03-20,237.02999877929688,237.36000061035156,236.32000732421875,205.3119354248047,52537000
2017-03-21,237.47000122070312,237.61000061035156,233.5800018310547,202.67584228515625,131809300
2017-03-22,233.77000427246094,234.61000061035156,233.0500030517578,203.1527862548828,97569200
2017-03-23,234.27999877929688,235.33999633789062,233.60000610351562,202.93597412109375,100410300
2017-03-24,234.3800048828125,235.0399932861328,232.9600067138672,202.78857421875,112504900
2017-03-27,231.92999267578125,233.9199981689453,231.61000061035156,202.5804901123047,87454500
2017-03-28,233.27000427246094,235.80999755859375,233.13999938964844,204.0546112060547,93483900
2017-03-29,234.99000549316406,235.80999755859375,234.72999572753906,204.24537658691406,61950400
2017-03-30,235.47000122070312,236.52000427246094,235.27000427246094,204.8957061767578,56737900
2017-03-31,235.89999389648438,236.50999450683594,235.67999267578125,204.41879272460938,73733100
2017-04-03,235.8000030517578,236.02999877929688,233.91000366210938,204.0633087158203,85546500
2017-04-04,235.0,235.5800018310547,234.55999755859375,204.19329833984375,56466200
2017-04-05,236.25999450683594,237.38999938964844,234.5399932861328,203.5863037109375,108800600
2017-04-06,234.94000244140625,236.0399932861328,234.42999267578125,204.15866088867188,69135800
2017-04-07,235.14999389648438,236.0,234.63999938964844,203.95053100585938,74412300
2017-04-10,235.36000061035156,236.25999450683594,234.72999572753906,204.0719757080078,67615300
2017-04-11,234.89999389648438,235.17999267578125,233.33999633789062,203.82916259765625,88045300
2017-04-12,234.74000549316406,234.9600067138672,233.77000427246094,202.93597412109375,81864400
2017-04-13,233.63999938964844,234.49000549316406,232.50999450683594,201.61790466308594,92880400
2017-04-17,233.11000061035156,234.57000732421875,232.8800048828125,203.4042510986328,68405400
2017-04-18,233.72000122070312,234.49000549316406,233.0800018310547,202.79725646972656,83225800
2017-04-19,234.52000427246094,234.9499969482422,233.17999267578125,202.42437744140625,68699900
2017-04-20,234.14999389648438,235.85000610351562,233.77999877929688,204.0719757080078,92572200
2017-04-21,235.25,235.30999755859375,234.1300048828125,203.42156982421875,110389800
2017-04-24,237.17999267578125,237.41000366210938,234.55999755859375,205.65882873535156,119209900
2017-04-25,237.91000366210938,238.9499969482422,237.80999755859375,206.85546875,76698300
2017-04-26,238.50999450683594,239.52999877929688,238.35000610351562,206.72540283203125,84702500
2017-04-27,238.77000427246094,238.9499969482422,237.97999572753906,206.89883422851562,57410300
2017-04-28,238.89999389648438,238.92999267578125,237.92999267578125,206.44790649414062,63532800
2017-05-01,238.67999267578125,239.1699981689453,238.1999969482422,206.96815490722656,66882500
2017-05-02,238.83999633789062,238.97999572753906,238.3000030517578,207.04629516601562,57375700
2017-05-03,238.77000427246094,238.8800048828125,237.6999969482422,206.79478454589844,73137700
2017-05-04,238.8300018310547,238.9199981689453,237.77999877929688,207.03761291503906,61462700
2017-05-05,239.19000244140625,239.72000122070312,238.67999267578125,207.85264587402344,62001300
2017-05-08,239.75,239.9199981689453,239.1699981689453,207.8179931640625,48385700
2017-05-09,239.9600067138672,240.19000244140625,239.0399932861328,207.627197265625,51363200
2017-05-10,239.38999938964844,239.8699951171875,239.14999389648438,208.00009155273438,54293800
2017-05-11,239.35000610351562,239.57000732421875,238.1300048828125,207.57518005371094,62358300
2017-05-12,239.08999633789062,239.42999267578125,238.6699981689453,207.2283477783203,53912700
2017-05-15,239.47000122070312,240.44000244140625,239.4499969482422,208.3730010986328,61918900
2017-05-16,240.63999938964844,240.6699981689453,239.6300048828125,208.18218994140625,51241800
2017-05-17,240.0800018310547,240.0800018310547,235.75,204.48822021484375,172174100
2017-05-18,235.72999572753906,237.75,235.42999267578125,205.3119354248047,107047700
2017-05-19,237.3300018310547,239.0800018310547,237.27000427246094,206.64735412597656,115011400
2017-05-22,238.89999389648438,239.7100067138672,238.82000732421875,207.69656372070312,61010600
2017-05-23,239.9499969482422,240.24000549316406,239.50999450683594,208.15614318847656,48341700
2017-05-24,240.32000732421875,240.72999572753906,239.92999267578125,208.64175415039062,46927700
2017-05-25,241.1999969482422,242.0800018310547,240.9600067138672,209.6389923095703,64071700
2017-05-26,241.5399932861328,241.89999389648438,241.4499969482422,209.59564208984375,46629900
2017-05-30,241.33999633789062,241.7899932861328,241.16000366210938,209.41351318359375,35201900
2017-05-31,241.83999633789062,241.8800048828125,240.63999938964844,209.36148071289062,91796000
2017-06-01,241.97000122070312,243.3800048828125,241.63999938964844,211.02639770507812,68962000
2017-06-02,243.4199981689453,244.35000610351562,243.0800018310547,211.72874450683594,88666100
2017-06-05,243.97000122070312,244.3000030517578,243.75999450683594,211.57273864746094,44698800
2017-06-06,243.33999633789062,243.97999572753906,243.1199951171875,210.89630126953125,50375400
2017-06-07,243.60000610351562,243.9199981689453,242.8300018310547,211.2865447998047,54144300
2017-06-08,243.77000427246094,244.3300018310547,243.1699981689453,211.39060974121094,65950700
2017-06-09,244.08999633789062,245.00999450683594,241.9499969482422,211.0697784423828,132256400
2017-06-12,243.1300048828125,243.4199981689453,242.3800048828125,211.02639770507812,86108100
2017-06-13,243.97999572753906,244.61000061035156,243.5800018310547,212.0583038330078,60067000
2017-06-14,244.86000061035156,244.8699951171875,243.2899932861328,211.78944396972656,78602300
2017-06-15,242.67999267578125,243.91000366210938,242.36000061035156,211.3819122314453,66464900
2017-06-16,242.77000427246094,242.8300018310547,241.6300048828125,211.42807006835938,84553100
2017-06-19,243.58999633789062,244.72999572753906,243.47999572753906,213.18829345703125,65123800
2017-06-20,244.25,244.25999450683594,242.99000549316406,211.75051879882812,56906400
2017-06-21,243.4600067138672,243.58999633789062,242.41000366210938,211.69822692871094,55977600
2017-06-22,242.9600067138672,243.52999877929688,242.63999938964844,211.6023712158203,44148100
2017-06-23,242.91000366210938,243.50999450683594,242.47000122070312,211.85511779785156,66986800
2017-06-26,243.89999389648438,244.3800048828125,243.0500030517578,211.9944610595703,56700500
2017-06-27,243.0399932861328,243.3800048828125,241.30999755859375,210.28662109375,82247700
2017-06-28,242.5,243.72000122070312,242.22999572753906,212.16876220703125,70042600
2017-06-29,243.66000366210938,243.72000122070312,239.9600067138672,210.30409240722656,106949700
2017-06-30,242.27999877929688,242.7100067138672,241.5800018310547,210.6961212158203,86820700
2017-07-03,242.8800048828125,243.3800048828125,242.2100067138672,211.05337524414062,39153800
