Date,Open,High,Low,Close,Volume
2017-01-03,304.67999267578125,305.4700012207031,301.42999267578125,270.6107177734375,2004900
2017-01-04,304.2699890136719,308.44000244140625,304.1400146484375,274.8926086425781,3109700
2017-01-05,307.0899963378906,307.9599914550781,304.55999755859375,272.7337341308594,1293100
2017-01-06,306.05999755859375,307.0199890136719,304.95001220703125,272.4750061035156,823100
2017-01-09,304.9599914550781,305.30999755859375,303.010009765625,270.7623291015625,971100
2017-01-10,303.8599853515625,306.5899963378906,303.57000732421875,272.51959228515625,1055000
2017-01-11,305.7300109863281,306.7300109863281,304.5199890136719,273.6169738769531,1569300
2017-01-12,306.0799865722656,306.0799865722656,301.6700134277344,272.0380554199219,1764600
2017-01-13,305.70001220703125,307.8399963378906,305.69000244140625,273.5455627441406,1477400
2017-01-17,305.7099914550781,306.19000244140625,303.3500061035156,271.119140625,1053600
2017-01-18,304.3500061035156,305.32000732421875,303.0,272.23419189453125,1184800
2017-01-19,305.3900146484375,306.44000244140625,301.8699951171875,270.3162536621094,1147600
2017-01-20,304.1499938964844,305.3900146484375,303.5299987792969,271.6989440917969,900500
2017-01-23,303.95001220703125,304.79998779296875,302.1400146484375,271.01214599609375,823200
2017-01-24,305.0899963378906,309.19000244140625,305.0,275.07098388671875,2493100
2017-01-25,309.7699890136719,311.1099853515625,309.69000244140625,277.3992004394531,1437700
2017-01-26,311.1000061035156,311.7699890136719,309.2699890136719,276.4714050292969,910700
2017-01-27,310.2699890136719,310.7900085449219,307.57000732421875,275.0352783203125,967800
2017-01-30,306.510009765625,306.54998779296875,302.79998779296875,272.6712951660156,1510100
2017-01-31,305.2200012207031,307.2300109863281,303.94000244140625,273.5902099609375,1593500
2017-02-01,308.5799865722656,309.4599914550781,304.7300109863281,272.7961120605469,1981000
2017-02-02,305.8399963378906,307.4599914550781,304.8699951171875,273.1084289550781,1372800
2017-02-03,308.45001220703125,310.44000244140625,308.0799865722656,276.7033386230469,1251700
2017-02-06,309.2200012207031,310.4200134277344,308.260009765625,275.5168762207031,921100
2017-02-07,309.54998779296875,310.0899963378906,307.239990234375,274.7497863769531,1091600
2017-02-08,307.25,308.4100036621094,305.739990234375,274.9817199707031,858800
2017-02-09,308.8699951171875,311.6400146484375,308.6099853515625,277.55975341796875,1608700
2017-02-10,312.30999755859375,313.4200134277344,311.55999755859375,279.0315856933594,1174600
2017-02-13,314.29998779296875,314.8999938964844,313.54998779296875,279.8434143066406,827100
2017-02-14,313.260009765625,314.6600036621094,312.3299865722656,280.63726806640625,662100
