Date,Open,High,Low,Close,Volume
2017-01-03,198.91000366210938,199.10000610351562,197.47999572753906,165.6798858642578,6669800
2017-01-04,198.75999450683594,199.36000061035156,198.60000610351562,166.2894287109375,4823200
2017-01-05,198.9499969482422,199.27000427246094,197.89999389648438,165.95538330078125,4124500
2017-01-06,198.72999572753906,199.8300018310547,198.1699981689453,166.59007263183594,4322600
2017-01-09,199.08999633789062,199.27000427246094,198.75,165.96372985839844,2303500
2017-01-10,198.72000122070312,199.41000366210938,198.2100067138672,165.6631622314453,3029200
2017-01-11,198.6300048828125,199.57000732421875,198.14999389648438,166.439697265625,5209800
2017-01-12,198.8800048828125,198.91000366210938,197.52999877929688,165.95538330078125,3865200
2017-01-13,198.91000366210938,199.35000610351562,198.32000732421875,165.91368103027344,3468900
2017-01-17,198.27000427246094,198.64999389648438,197.58999633789062,165.40431213378906,3329800
2017-01-18,198.0800018310547,198.22999572753906,197.3000030517578,165.28746032714844,4634800
2017-01-19,198.02999877929688,198.16000366210938,196.69000244140625,164.72796630859375,3050900
2017-01-20,197.52999877929688,198.1999969482422,197.30999755859375,165.45753479003906,6999000
2017-01-23,197.86000061035156,198.11000061035156,197.0399932861328,165.3071746826172,3249700
2017-01-24,197.7899932861328,199.22000122070312,197.6199951171875,166.19309997558594,5205800
2017-01-25,200.00999450683594,200.5500030517578,199.75,167.513671875,4880800
2017-01-26,200.60000610351562,200.97000122070312,200.4199981689453,167.76446533203125,3999700
2017-01-27,200.69000244140625,200.8699951171875,200.4499969482422,167.68923950195312,3576500
2017-01-30,199.8300018310547,199.89999389648438,198.4199981689453,166.6444549560547,4718000
2017-01-31,198.72000122070312,198.88999938964844,197.55999755859375,165.7919921875,4628100
2017-02-01,199.1300048828125,199.39999389648438,198.1999969482422,166.01763916015625,3676900
2017-02-02,198.16000366210938,198.97000122070312,198.02000427246094,166.0009002685547,2640600
2017-02-03,199.5800018310547,200.57000732421875,199.44000244140625,167.48028564453125,4857300
2017-02-06,200.02999877929688,200.6999969482422,199.77999877929688,167.39678955078125,2770900
2017-02-07,200.88999938964844,201.3000030517578,200.42999267578125,167.64747619628906,2606300
2017-02-08,200.5,200.69000244140625,200.14999389648438,167.58889770507812,2291500
2017-02-09,200.82000732421875,202.11000061035156,200.77000427246094,168.600341796875,3487600
2017-02-10,202.3000030517578,203.0,202.07000732421875,169.45278930664062,2880300
2017-02-13,203.32000732421875,204.47000122070312,203.32000732421875,170.67308044433594,2637400
2017-02-14,204.05999755859375,205.17999267578125,203.9499969482422,171.48374938964844,3586600
2017-02-15,205.38999938964844,206.49000549316406,205.2899932861328,172.49522399902344,3646000
2017-02-16,206.5500030517578,206.72000122070312,205.85000610351562,172.57879638671875,4589600
2017-02-17,205.02999877929688,205.9199981689453,205.02000427246094,172.54598999023438,5747700
2017-02-21,206.55999755859375,207.3000030517578,206.4199981689453,173.54339599609375,3076400
2017-02-22,206.72999572753906,207.52999877929688,206.63999938964844,173.86184692382812,2254400
2017-02-23,208.05999755859375,208.14999389648438,207.2100067138672,174.17196655273438,3179900
2017-02-24,207.0800018310547,207.9499969482422,207.07000732421875,174.26412963867188,3703900
2017-02-27,207.72999572753906,208.3699951171875,207.61000061035156,174.56582641601562,3433700
2017-02-28,208.11000061035156,208.30999755859375,207.67999267578125,174.3061065673828,2821900
2017-03-01,209.9199981689453,211.58999633789062,209.8800048828125,176.85389709472656,7846100
2017-03-02,211.19000244140625,211.19000244140625,209.83999633789062,175.9067840576172,3336900
2017-03-03,210.05999755859375,210.32000732421875,209.41000366210938,175.92359924316406,2589000
2017-03-06,209.25999450683594,209.77000427246094,209.02000427246094,175.5631103515625,2524700
2017-03-07,209.2100067138672,209.66000366210938,208.97999572753906,175.30340576171875,2741000
2017-03-08,209.5800018310547,209.61000061035156,208.42999267578125,174.83409118652344,3173100
2017-03-09,208.74000549316406,209.08999633789062,207.8699951171875,174.88429260253906,4430100
2017-03-10,209.69000244140625,209.6999969482422,208.36000061035156,175.28663635253906,3004000
2017-03-13,209.1300048828125,209.33999633789062,208.58999633789062,175.110595703125,2261800
2017-03-14,208.57000732421875,208.8800048828125,207.97999572753906,174.77542114257812,4433000
2017-03-15,208.8300018310547,209.91000366210938,208.7100067138672,175.64703369140625,5737000
2017-03-16,210.1699981689453,210.1699981689453,209.0500030517578,175.5297088623047,3018400
2017-03-17,209.52999877929688,209.52999877929688,208.8300018310547,175.38525390625,2873200
2017-03-20,208.85000610351562,209.27000427246094,208.55999755859375,175.3432159423828,3308600
2017-03-21,209.3300018310547,209.42999267578125,206.25,173.27752685546875,6192400
2017-03-22,205.9600067138672,206.57000732421875,205.5,173.32789611816406,3898500
2017-03-23,206.02999877929688,207.3000030517578,205.91000366210938,173.243896484375,3840000
2017-03-24,206.5800018310547,206.89999389648438,205.0,172.77371215820312,4052700
2017-03-27,204.17999267578125,205.50999450683594,203.80999755859375,172.3370819091797,4559600
2017-03-28,205.0800018310547,207.07000732421875,204.91000366210938,173.61343383789062,3538000
2017-03-29,206.52999877929688,206.55999755859375,205.9499969482422,173.243896484375,2323900
2017-03-30,206.3000030517578,207.25999450683594,206.14999389648438,173.78976440429688,2849200
2017-03-31,206.72000122070312,206.92999267578125,206.3000030517578,173.26913452148438,4179600
2017-04-03,206.52000427246094,206.6300048828125,204.8800048828125,173.1935272216797,4436100
2017-04-04,206.02000427246094,206.77000427246094,205.80999755859375,173.5294952392578,2555400
2017-04-05,207.58999633789062,208.64999389648438,206.16000366210938,173.20187377929688,4110400
2017-04-06,206.4499969482422,207.2899932861328,205.9199981689453,173.36146545410156,3186900
2017-04-07,206.19000244140625,207.07000732421875,205.88999938964844,173.30264282226562,2609300
2017-04-10,206.49000549316406,207.32000732421875,205.9499969482422,173.3111572265625,2395200
2017-04-11,206.22000122070312,206.4199981689453,204.94000244140625,173.26072692871094,3511500
2017-04-12,206.3000030517578,206.3000030517578,205.35000610351562,172.70643615722656,2181700
2017-04-13,205.33999633789062,205.94000244140625,204.36000061035156,171.61483764648438,3605200
2017-04-17,204.92999267578125,206.25999450683594,204.86000061035156,173.1263427734375,2260900
2017-04-18,205.36000061035156,205.80999755859375,204.4199981689453,172.21115112304688,2497900
2017-04-19,205.25999450683594,205.3000030517578,203.63999938964844,171.17819213867188,3606400
2017-04-20,204.35000610351562,206.2100067138672,204.1699981689453,172.731689453125,3873700
2017-04-21,205.50999450683594,205.72999572753906,204.77000427246094,172.50640869140625,3034800
2017-04-24,207.3300018310547,207.6300048828125,207.02999877929688,174.29669189453125,3220200
2017-04-25,208.9499969482422,209.97999572753906,208.83999633789062,176.2296905517578,3483600
2017-04-26,209.80999755859375,210.42999267578125,209.44000244140625,176.05325317382812,2865300
2017-04-27,209.72999572753906,209.77000427246094,209.05999755859375,176.1289520263672,1951700
2017-04-28,209.6300048828125,209.6300048828125,208.97000122070312,175.7254180908203,1934000
2017-05-01,209.49000549316406,209.49000549316406,208.6999969482422,175.59100341796875,1886000
2017-05-02,209.10000610351562,209.3000030517578,208.75,175.76754760742188,1359700
2017-05-03,209.1300048828125,209.47000122070312,208.47000122070312,175.84317016601562,1829400
